stock_id,date_of_listing,exchange_name,face_value,isin_number,market_lot,paid_up_value,sector,series,stock_name,stock_symbol
2,06-OCT-2008,NSE,5,INE144J01027,1,5,Sector,EQ,"20 Microns Limited",20MICRONS
3,22-APR-2005,NSE,10,INE748C01020,1,10,Sector,EQ,"3i Infotech Limited",3IINFOTECH
4,13-AUG-2004,NSE,10,INE470A01017,1,10,Sector,EQ,"3M India Limited",3MINDIA
5,29-JAN-2014,NSE,10,INE650K01013,1,10,Sector,EQ,"8K Miles Software Services Limited",8KMILES
6,23-DEC-2010,NSE,10,INE619I01012,1,10,Sector,EQ,"A2Z INFRA ENGINEERING LIMITED",A2ZINFRA
7,19-SEP-2003,NSE,10,INE767A01016,1,10,Sector,EQ,"Aarti Drugs Limited",AARTIDRUGS
8,08-FEB-1995,NSE,5,INE769A01020,1,5,Sector,EQ,"Aarti Industries Limited",AARTIIND
9,21-NOV-2006,NSE,10,INE273D01019,1,10,Sector,EQ,"Aarvee Denims & Exports Limited",AARVEEDEN
10,29-MAR-1995,NSE,2,INE421A01028,1,2,Sector,EQ,"Aban Offshore Limited",ABAN
11,08-FEB-1995,NSE,2,INE117A01022,1,2,Sector,EQ,"ABB India Limited",ABB
12,08-JAN-2010,NSE,10,INE358A01014,1,10,Sector,EQ,"Abbott India Limited",ABBOTINDIA
13,05-DEC-2005,NSE,10,INE605B01016,1,10,Sector,EQ,"Aditya Birla Chemicals (India) Limited",ABCIL
14,11-APR-2007,NSE,10,INE067H01016,1,10,Sector,EQ,"ABG Shipyard Limited",ABGSHIP
15,13-SEP-1995,NSE,10,INE069A01017,1,10,Sector,EQ,"Aditya Birla Nuvo Limited",ABIRLANUVO
16,20-NOV-1996,NSE,10,INE012A01025,1,10,Sector,EQ,"ACC Limited",ACC
17,01-DEC-1999,NSE,10,INE793A01012,1,10,Sector,EQ,"Accelya Kale Solutions Limited",ACCELYA
18,26-SEP-2006,NSE,2,INE731H01025,1,2,Sector,EQ,"Action Construction Equipment Limited",ACE
19,10-MAR-2011,NSE,10,INE055L01013,1,10,Sector,EQ,"Acropetal Technologies Limited",ACROPETAL
20,04-JUN-1997,NSE,1,INE423A01024,1,1,Sector,EQ,"Adani Enterprises Limited",ADANIENT
21,27-NOV-2007,NSE,2,INE742F01042,1,2,Sector,EQ,"Adani Ports and Special Economic Zone Limited",ADANIPORTS
22,20-AUG-2009,NSE,10,INE814H01011,1,10,Sector,EQ,"Adani Power Limited",ADANIPOWER
23,15-SEP-2010,NSE,10,INE982B01019,1,10,Sector,EQ,"ADF Foods Limited",ADFFOODS
24,05-APR-2006,NSE,10,INE400H01019,1,10,Sector,EQ,"Adhunik Metaliks Limited",ADHUNIK
25,06-APR-2015,NSE,10,INE172N01012,1,10,Sector,EQ,"Adlabs Entertainment Limited",ADLABS
26,10-MAY-1995,NSE,10,INE045A01017,1,10,Sector,EQ,"Ador Welding Limited",ADORWELD
27,25-JUL-2007,NSE,5,INE102I01027,1,5,Sector,EQ,"Allied Digital Services Limited",ADSL
28,25-JUN-2007,NSE,2,INE199C01026,1,2,Sector,EQ,"Advani Hotels & Resorts (India) Limited",ADVANIHOTR
29,19-APR-2007,NSE,2,INE517H01028,1,2,Sector,EQ,"Advanta Limited",ADVANTA
30,03-APR-1996,NSE,10,INE208C01017,1,10,Sector,EQ,"Aegis Logistics Limited",AEGISCHEM
31,30-OCT-2006,NSE,10,INE020G01017,1,10,Sector,EQ,"Accel Frontline Limited",AFL
32,16-AUG-2000,NSE,2,INE796A01023,1,2,Sector,BZ,"Aftek Limited",AFTEK
33,26-MAY-2014,NSE,10,INE204E01012,1,10,Sector,EQ,"Agarwal Industrial Corporation Limited",AGARIND
34,22-JUL-2003,NSE,10,INE676A01019,1,10,Sector,EQ,"AGC Networks Limited",AGCNET
35,28-JAN-2014,NSE,10,INE449G01018,1,10,Sector,EQ,"Agri-Tech (India) Limited",AGRITECH
36,27-SEP-2000,NSE,10,INE135B01014,1,10,Sector,EQ,"Agro Dutch Industries Limited",AGRODUTCH
